Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns
bfs, 454.006157:270.000000:-228.623000, 330.000000:270.000000:-228.623000, 612.009877, 20.400329, 8, 5, 
dijkstra, 454.006157:270.000000:-228.623000, 310.000000:270.000000:-228.623000, 616.981328, 20.566044, 12, 2, 
astar, 454.006157:270.000000:-228.623000, 300.000000:270.000000:-228.623000, 695.722627, 23.190754, 11, 3, 
bfs, 331.929208:274.351114:-225.200316, 224.000000:270.000000:147.000000, 765.979475, 25.532649, 7, 4, 
dfs, 454.006157:270.000000:-228.623000, 320.000000:270.000000:-228.623000, 1479.111886, 49.303730, 26, 30, 
dijkstra, 312.892488:274.422878:-226.442658, -30.000000:270.000000:-707.000000, 1109.190347, 36.973012, 8, 6, 
astar, 296.152387:271.528935:-228.009960, 1333.000000:270.000000:423.000000, 1708.868229, 56.962274, 3, 21, 
bfs, 225.382432:273.197254:143.430327, -223.000000:270.000000:-229.000000, 1114.386885, 37.146229, 12, 8, 
dijkstra, -26.354858:274.200000:-708.167709, -581.000000:270.000000:296.000000, 1940.678969, 64.689299, 24, 22, 
astar, 1329.241537:274.200000:421.989110, 1261.000000:270.000000:-669.000000, 1761.300000, 58.710000, 12, 12, 
bfs, -220.755946:274.200000:-232.129743, 1154.000000:270.000000:-553.000000, 1973.418498, 65.780617, 2, 19, 
dijkstra, -584.188313:274.200000:294.062728, -891.000000:270.000000:-50.000000, 928.218498, 30.940617, 21, 11, 
dijkstra, -890.543529:274.200000:-46.075014, -797.000000:270.000000:-13.000000, 396.600000, 13.220000, 1, 5, 
bfs, 1150.732236:274.200000:-550.874699, 1323.000000:270.000000:253.000000, 1534.800000, 51.160000, 11, 12, 
dijkstra, -795.625853:274.200003:-9.296241, -852.000000:270.000000:-537.000000, 1163.400000, 38.780000, 24, 9, 
astar, 1257.818033:274.200000:-667.031372, -277.000000:270.000000:668.000000, 3803.307708, 126.776924, 33, 32, 
dijkstra, -850.572170:274.200000:-533.431676, 829.000000:270.000000:-553.000000, 3023.889210, 100.796307, 10, 22, 
bfs, 1320.154599:274.200000:255.727995, -1193.000000:270.000000:518.000000, 3456.789210, 115.226307, 25, 8, 
astar, -279.872424:274.200000:670.616475, 118.000000:270.000000:-238.000000, 2444.100000, 81.470000, 24, 27, 
bfs, -1191.144359:274.200000:521.204524, -603.000000:270.000000:349.000000, 1037.400000, 34.580000, 5, 10, 
dijkstra, 831.871458:274.200000:-550.516116, -155.000000:270.000000:-253.000000, 1667.100000, 55.570000, 16, 7, 
astar, 121.710517:274.200000:-238.123991, 788.000000:270.000000:-616.000000, 1243.497499, 41.449917, 0, 21, 
astar, 784.640093:274.200000:-618.102413, 905.000000:270.000000:24.000000, 1087.800000, 36.260000, 6, 6, 
dijkstra, -158.713798:274.200000:-253.323818, 328.000000:270.000000:541.000000, 2095.797499, 69.859917, 13, 11, 
bfs, -603.939954:274.200000:352.730649, 316.000000:270.000000:9.000000, 2689.313242, 89.643775, 19, 15, 
bfs, 319.380714:273.415743:10.617129, 1104.000000:270.000000:-59.000000, 1204.200000, 40.140000, 6, 18, 
dijkstra, 325.508619:274.200000:543.964508, 459.000000:270.000000:78.000000, 2741.215743, 91.373858, 10, 30, 
astar, 905.937175:274.200000:24.455179, -1364.000000:270.000000:-443.000000, 2980.015743, 99.333858, 44, 3, 
dijkstra, 455.258073:274.200000:79.023566, 429.000000:270.000000:409.000000, 944.700000, 31.490000, 19, 9, 
bfs, 1103.430094:274.200000:-55.057485, -1199.000000:270.000000:-127.000000, 2911.463875, 97.048796, 23, 8, 
astar, -1361.593336:274.200000:-440.079939, 318.000000:270.000000:613.000000, 2546.363875, 84.878796, 2, 22, 
dijkstra, 427.746397:274.200000:412.777899, -1177.000000:270.000000:-500.000000, 2546.063875, 84.868796, 47, 13, 
bfs, -1202.773186:274.200000:-126.854348, 12.000000:270.000000:-297.000000, 1979.100000, 65.970000, 8, 18, 
dijkstra, -1173.419556:274.200000:-498.885765, -1184.000000:270.000000:-166.000000, 801.600000, 26.720000, 4, 6, 
