Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
bfs,454.233530:270.000000:-228.623000,330.000000:270.000000:-228.623000,612.080237,20.402675,9,4,
dijkstra,454.233530:270.000000:-228.623000,310.000000:270.000000:-228.623000,617.180237,20.572675,11,3,
astar,454.233530:270.000000:-228.623000,300.000000:270.000000:-228.623000,695.480237,23.182675,10,4,
bfs,331.913173:274.294817:-225.217301,224.000000:270.000000:147.000000,766.246049,25.541535,6,5,
dfs,454.233530:270.000000:-228.623000,320.000000:270.000000:-228.623000,1477.148878,49.238296,26,29,
dijkstra,313.000571:274.294817:-226.360199,-30.000000:270.000000:-707.000000,1109.268640,36.975621,8,6,
astar,296.074971:274.294817:-228.000011,1333.000000:270.000000:423.000000,1709.826234,56.994208,2,22,
bfs,225.366125:271.285157:143.461337,-223.000000:270.000000:-229.000000,1112.371691,37.079056,12,8,
dijkstra,-26.348261:274.200000:-708.163695,-581.000000:270.000000:296.000000,1940.375687,64.679190,23,23,
astar,1329.242948:273.416489:421.989151,1261.000000:270.000000:-669.000000,1760.731124,58.691037,12,12,
bfs,-220.755945:271.724983:-232.129750,1154.000000:270.000000:-553.000000,1971.484155,65.716139,2,19,
dijkstra,-584.174386:272.104118:294.070526,-891.000000:270.000000:-50.000000,926.305641,30.876855,22,11,
